path	translation	split
common_voice_zh-CN_18979490.mp3	Zinc fluoride is the most common fluoride in zinc.	test
common_voice_zh-CN_18986945.mp3	Netizens can read and download the documents online.	test
common_voice_zh-CN_18986947.mp3	Some people think it's the future Princess Long.	test
common_voice_zh-CN_19362987.mp3	The public can also watch the match.	test
common_voice_zh-CN_19362988.mp3	Household slaves are found in many parts of Africa.	test
common_voice_zh-CN_19152252.mp3	Presidente Venceslau is a municipality in São Paulo, Brazil.	test
common_voice_zh-CN_19152254.mp3	Kind and gracious protection	test
common_voice_zh-CN_18995390.mp3	It's very difficult to increase salary	test
common_voice_zh-CN_18995391.mp3	Bresette is a small town of Brandenburg of Germany.	test
common_voice_zh-CN_19004182.mp3	It is on the railway that connects the capital Moscow with the Ukrainian capital Kiev and Rostov on the Don River.	test
common_voice_zh-CN_19004183.mp3	A lot of chocolates were bought as souvenirs	test
common_voice_zh-CN_18988143.mp3	Then he returned to the capital to deal with the reports from all administrative regions.	test
common_voice_zh-CN_18988146.mp3	The fish is distributed in the seas in the warm temperate zones throughout the world.	test
common_voice_zh-CN_19119002.mp3	Administered by the Metro Vancouver.	test
common_voice_zh-CN_19119050.mp3	You will see one day	test
common_voice_zh-CN_18983264.mp3	Tuojiang Town has been the administrative center of the Fenghuang County since the Qing Dynasty.	test
common_voice_zh-CN_18983267.mp3	The narrator is Huang Qichang.	test
common_voice_zh-CN_19000485.mp3	The New Year wood-block prints of door godsend are one of the major themes.	test
common_voice_zh-CN_19000488.mp3	Optokinetic reflex is a combination of saccades and the motion of pursuing stability.	test
common_voice_zh-CN_18815125.mp3	Ranked No.68 of the third grade (San Jia) Jinshi degree in the 44th year of the Jiajing reign.	test
common_voice_zh-CN_18815126.mp3	When Zhengfang walked out of the house, he saw a hoodlum with a tattoo throwing rubbish in front of the house, but he was not brave enough to argue with him.	test
common_voice_zh-CN_18652434.mp3	In this competition, China won the final in Chinese Taipei for the second time in a row.	test
common_voice_zh-CN_18652435.mp3	Lowell Dean is a Canadian director, producer, screenwriter, editor and actor.	test
common_voice_zh-CN_18995249.mp3	Great contributions were made to quantum theory.	test
common_voice_zh-CN_18995250.mp3	Fundamentalists are on the opposite side to the liberal theology.	test
common_voice_zh-CN_18986970.mp3	Population change graph of Vito	test
common_voice_zh-CN_18986973.mp3	No.26 in the Provincial Examination of Zhejiang Province.	test
common_voice_zh-CN_18814251.mp3	Ranked No.170 of the third grade (San Jia) Jinshi degree in the 5th year of the Longqing reign.	test
common_voice_zh-CN_18814252.mp3	Due to the large-scale war and environmental damage, the ice age of the earth has come, forcing human beings to move underground.	test
common_voice_zh-CN_19003360.mp3	It is the northernmost station in the Chuanqiao City.	test
common_voice_zh-CN_19003361.mp3	In the old land of Yilou.	test
common_voice_zh-CN_18978596.mp3	One of the six loyal officials who died for being loyal to the previous emperor.	test
common_voice_zh-CN_18978598.mp3	The wife of Yelu Nuolisi, Emperor of Suzu of Liao.	test
common_voice_zh-CN_19512307.mp3	St. Jacques road is a street in the Latin Quarter of Paris.	test
common_voice_zh-CN_19512308.mp3	His religious name is Jing An.	test
common_voice_zh-CN_18983467.mp3	This has made the park one of the most popular places in the city.	test
common_voice_zh-CN_18983470.mp3	Awaya Station is a railway station on the Sanko Line.	test
common_voice_zh-CN_18648885.mp3	We mainly focuses on the number of audience, supplemented by the box office.	test
common_voice_zh-CN_18648896.mp3	Ron Judkins is an American writer-director.	test
common_voice_zh-CN_18785239.mp3	Nonetheless, the existence of young female models in comic fan shows have caused some concerns amongst show visitors.	test
common_voice_zh-CN_18785241.mp3	St. Ignatius Church, classical style.	test
common_voice_zh-CN_18986935.mp3	Liangzhexilu was a local administrative region in the Southern and Northern Song Dynasties.	test
common_voice_zh-CN_18986936.mp3	The population change graph of Musashi	test
common_voice_zh-CN_18595321.mp3	Little Saki Ai’s brother is a comic.	test
common_voice_zh-CN_18595326.mp3	Lower Santander Village is a census-designated place located in Pinal County, Arizona, United States.	test
common_voice_zh-CN_18734881.mp3	Lei Sitang stayed open.	test
common_voice_zh-CN_18734883.mp3	When replaying in normal speed, time seems to slow down.	test
common_voice_zh-CN_18994941.mp3	Chief of staff and secretary of Zhu De during the Northern Expeditions.	test
common_voice_zh-CN_18994944.mp3	The name of Takatsukasa was made after the Takatsukasa Road of Heiankyo.	test
common_voice_zh-CN_18999815.mp3	Chen’s family continued to manage the group to expand its business.	test
common_voice_zh-CN_18999816.mp3	The history of relations between Taiwan and Japan refers to the relations between them in different stages of history.	test
common_voice_zh-CN_20112268.mp3	The city council building of Pasir Gudang is located in the Acaba Building in the center of the city.	test
common_voice_zh-CN_20112269.mp3	It was subordinated to the Guilin Government in the Ming Dynasty.	test
common_voice_zh-CN_18771601.mp3	Wu Chun, courtesy name of Shou Qing, and born in Xinjian County, Nanchang Fu, JIangxi as a common citizen, was honored the third grade of Jinshi degree and served as a politician during the Ming dynasty.	test
common_voice_zh-CN_18771602.mp3	The main controversy in this case is the legal status of frozen embryos.	test
common_voice_zh-CN_18987297.mp3	Affiliated to the Education Department of Anhui Province.	test
common_voice_zh-CN_18987298.mp3	The former name of the school was Shandong Lanxiang Senior Technician Training School.	test
common_voice_zh-CN_18990635.mp3	Both her parents are of Japanese descent.	test
common_voice_zh-CN_18990639.mp3	Kanagawa has the most by-pass ways that have not become current roads.	test
common_voice_zh-CN_19003490.mp3	She is the only active female sled player in Taiwan.	test
common_voice_zh-CN_19003506.mp3	Yuan Hong, Emperor Xiao Wen of the Wei Dynasty, married the daughter of Wei Chong and ennobled her Chonghuapin.	test
common_voice_zh-CN_19004263.mp3	After its establishment, the military department has been using in the former office building of Changbai Mountain Scientific Research Institute.	test
common_voice_zh-CN_19004266.mp3	The cemetery hill lawsuit between the two tribes was concluded.	test
common_voice_zh-CN_18995332.mp3	The Ministry of Social and Family Development is a subdivision of the Singapore Government.	test
common_voice_zh-CN_18995341.mp3	How could Long Ying keep the last hope of the Tang Dynasty?	test
common_voice_zh-CN_18999632.mp3	Graduated from Automobile Design and Manufacturing Major of the Automobile Engineering School of Chongqing University.	test
common_voice_zh-CN_18999633.mp3	The type locality of the species is in India.	test
common_voice_zh-CN_18979527.mp3	Peng Daochuan.	test
common_voice_zh-CN_18979529.mp3	Population change graph of Pel-et-Der	test
common_voice_zh-CN_18659516.mp3	Bus stop is located at intersection of Shendun One Road and Guanggu Six Road, set along Shendun One Road East West direction.	test
common_voice_zh-CN_18659517.mp3	In the era of rampant Chinese opium, pipes of different materials even become a symbol of identity and status.	test
common_voice_zh-CN_18991726.mp3	We walked following the crowd	test
common_voice_zh-CN_18991727.mp3	Ben fish is a species of hermaphrodite with protogyny.	test
common_voice_zh-CN_19003423.mp3	County sheriff Lora.	test
common_voice_zh-CN_19003424.mp3	In 404 A.D., the current Fushandi was assigned as Gecheng County.	test
common_voice_zh-CN_18987859.mp3	Maximinus was leading his army to Roma.	test
common_voice_zh-CN_18987860.mp3	The snow landscape on the way is another must-see scene	test
common_voice_zh-CN_19003207.mp3	The Byurakan Observatory of the Armenian Academy of Science is on the slope of the mountain.	test
common_voice_zh-CN_19003208.mp3	Graduated from the Chinese major of Shanxi University.	test
common_voice_zh-CN_18988618.mp3	The Kazakh Seismic Observation and Research Center is also actively seeking solutions to various regional problems.	test
common_voice_zh-CN_18988619.mp3	The Confucius Plaza is a Chinese apartment building located in Manhattan's Chinatown in New York City.	test
common_voice_zh-CN_18980605.mp3	Nader Shah was a brilliant commander and a ruthless conqueror.	test
common_voice_zh-CN_18980609.mp3	She has won more fans in this way.	test
common_voice_zh-CN_18979237.mp3	Family automation.	test
common_voice_zh-CN_18979239.mp3	Libya will establish a special committee to execute the political isolation decree.	test
common_voice_zh-CN_18979240.mp3	White-tailed Pitymys ireneis is an animal of the Pitymys of the Cricetidae.	test
common_voice_zh-CN_19011203.mp3	Exclusively sponsored by the Charity Trust of the Hong Kong Jockey Club.	test
common_voice_zh-CN_19011204.mp3	Papplewell grew up in the East Riding of Yorkshire, England.	test
common_voice_zh-CN_19011206.mp3	The ruins in Laohutou Mountain could date back to the Neolithic Age.	test
common_voice_zh-CN_18983000.mp3	Then he became the magistrate of Shangrao County.	test
common_voice_zh-CN_18983002.mp3	Myxobolus vesiformis is an animal under the Myxobolus of the Myxobolidae.	test
common_voice_zh-CN_18983003.mp3	Heideland is a town of Brandenburg of Germany.	test
common_voice_zh-CN_18987310.mp3	Born in Linchuan County, Jiangxi Province.	test
common_voice_zh-CN_18987311.mp3	The village of Hongmaoxiang was relocated by Kaohsiung Municipal Government to acquire land and some infrastructure.	test
common_voice_zh-CN_18987313.mp3	Cobalt Air is an airline with its headquarters in Larnaca International Airport of Cyprus.	test
common_voice_zh-CN_18988536.mp3	The type locality of the species is in Dauria of Siberia.	test
common_voice_zh-CN_18988537.mp3	Tens of thousands of Zurich people participated in the experiment.	test
common_voice_zh-CN_18988538.mp3	Historical breakthrough has been made in environmental construction.	test
common_voice_zh-CN_18995272.mp3	Population change graphs of Lelu chapel and Lelu Lake	test
common_voice_zh-CN_18995273.mp3	The king and the queen had twelve sons.	test
common_voice_zh-CN_18995275.mp3	Born in the Krishna county of Andhra Pradesh.	test
common_voice_zh-CN_19125309.mp3	Melandrium puranense	test
common_voice_zh-CN_19125311.mp3	Population change graph of Leitz	test
common_voice_zh-CN_19125312.mp3	This book records the rise and development of Terengganu.	test
common_voice_zh-CN_19076381.mp3	Fight for the earth.	test
common_voice_zh-CN_19076382.mp3	The school infuse state religion to students mainly through liberal education.	test
common_voice_zh-CN_19076383.mp3	It is not allowed by Mr. Zhang	test
common_voice_zh-CN_18986559.mp3	Population change graph of La Guérinière	test
common_voice_zh-CN_18986561.mp3	Guangxi Provincial Government was the supreme local administration of Guangxi Province under the Nanjing KMT Government in the Republic of China.	test
common_voice_zh-CN_18986563.mp3	Pontella tridactyla is a species under the Pontella of the Pontellidae.	test
common_voice_zh-CN_18996731.mp3	The other seven persons shall be appointed by the chief executive within fifteen days after the final settlement of the election.	test
common_voice_zh-CN_18996734.mp3	From Tokyo Prefecture.	test
common_voice_zh-CN_18996735.mp3	La Haye-de-Routot.	test
common_voice_zh-CN_18812003.mp3	Its fossils are mainly found in Russia and elsewhere in Europe.	test
common_voice_zh-CN_18812004.mp3	Do Duong Thanh, Vietnamese official during Nguyen Dynasty.	test
common_voice_zh-CN_18812005.mp3	Previously heteropods and modern button tongue, now reclassified as hosta snail subclass.	test
common_voice_zh-CN_18626870.mp3	Kulanu Party or Our Party is a centrist political party in Israel led by Moshe Kahlon.	test
common_voice_zh-CN_18626873.mp3	Divided into two or more related regions because of geographical isolation.	test
common_voice_zh-CN_18626875.mp3	Merced Falls is an unorganized area located in Merced County, California, USA.	test
common_voice_zh-CN_18986172.mp3	The cell nucleus is flat and on the edge.	test
common_voice_zh-CN_18986174.mp3	Union City.	test
common_voice_zh-CN_18986175.mp3	Population change graph of Viry	test
common_voice_zh-CN_18994959.mp3	The Nuremberg is equipped with four radar early-warning receivers.	test
common_voice_zh-CN_18994960.mp3	Chernobyl nuclear power plant.	test
common_voice_zh-CN_18994963.mp3	Became candidate in the highest imperial examination in 1642.	test
common_voice_zh-CN_19232169.mp3	The Soviet military leadership did not have long-term planning for rocket weapons.	test
common_voice_zh-CN_19232170.mp3	The school is one of the demonstrative ordinary senior high school in Beijing.	test
common_voice_zh-CN_19232172.mp3	Boa is a town in Sao Paulo of Brazil.	test
common_voice_zh-CN_18976179.mp3	Astragalus brevialatus Tsai et Yu in Bull.s	test
common_voice_zh-CN_18976180.mp3	Hydrangea strigosa Rehd is a species under the Hydrangea L. of the Hydrangeoideae.	test
common_voice_zh-CN_18976182.mp3	The team has joined the Segunda División B.	test
common_voice_zh-CN_18775798.mp3	Getao person, poet from Qing Dynasty, scholar, government official.	test
common_voice_zh-CN_18775800.mp3	After that, he developed a strong impression on music of Ennio Morricone and Henry Macinin and started composing.	test
common_voice_zh-CN_18775801.mp3	The front gate and inverted seat of the west area are the original buildings of Ding Ruchang's apartment.	test
common_voice_zh-CN_19962283.mp3	Lieberman is the first Jewish-American nominated by a major political party for the election of Vice President.	test
common_voice_zh-CN_19962284.mp3	It has become the first international TV channel in Guangxi.	test
common_voice_zh-CN_19962285.mp3	Vlua belongs to this class.	test
common_voice_zh-CN_18994748.mp3	The trestle bridge and Xiaoqingdao are the landmark landscapes of Qingdao City.	test
common_voice_zh-CN_18994749.mp3	The Great Wall List of Changzhi City contains the positions of the ancient great walls and their ancillary facilities In Changzhi City, Shanxi Province, China.	test
common_voice_zh-CN_18994752.mp3	Dugda village community is in the Zeya District of Amur State, Russia Federation	test
common_voice_zh-CN_18742988.mp3	This town is also the lowest population density in the Netherlands.	test
common_voice_zh-CN_18742990.mp3	The Minister of Consultation and Administration, an official post of the Qing dynasty, was an officer of the Consultation and Administration Office who assisted the emperor to discuss state affairs. Later the post was abolished.	test
common_voice_zh-CN_18742992.mp3	He is also a professional butcher.	test
common_voice_zh-CN_19254417.mp3	Roasted garlic in Jinshan is a kind of food made by baking solo garlic.	test
common_voice_zh-CN_19254420.mp3	It's nothing	test
common_voice_zh-CN_19254421.mp3	The infection mode will last until the player quits from the game.	test
common_voice_zh-CN_18991661.mp3	The Dutch army also bombed the Okanburg Airport.	test
common_voice_zh-CN_18991662.mp3	The home field of the Stoke City is the Britannia Stadium.	test
common_voice_zh-CN_18991665.mp3	This is the first time for the Headquarters of the United Nations to participate in this activity.	test
common_voice_zh-CN_18659682.mp3	Lake Okutama is an important drinking water source in Tokyo.	test
common_voice_zh-CN_18659683.mp3	In the first year of Ganyuan, Suzong Emperor of Tang Dynasty changed it to Hezhou.	test
common_voice_zh-CN_18659684.mp3	Quan Zhendong, a native of Jilin Province, is a Chinese male singer.	test
common_voice_zh-CN_18988071.mp3	After graduation, he studied at Makerere University in Uganda and the University of Leeds in the UK.	test
common_voice_zh-CN_18988074.mp3	The transport layer service is transferred to the application process through the transport layer protocol's programming interface.	test
common_voice_zh-CN_18988075.mp3	He now serves as the assistant coach of VfL Wolfsburg of the Bundesliga in Germany.	test
common_voice_zh-CN_18675670.mp3	Although many people work as sugar factory workers in Hawaii, they focus on providing education for their children.	test
common_voice_zh-CN_18675672.mp3	Legend is under the management and operation of the National Academy of Marine Research (a research institute of Taiwan dealing with ocean-related matters) to carry out marine investigations and research.	test
common_voice_zh-CN_18675674.mp3	After the end of the cultural revolution, some leaders of the "Gao Si" were also willing to call themselves "conservatives", once gaining momentum.	test
common_voice_zh-CN_19125450.mp3	The wine-shop has become a place for travelers and merchants to rest.	test
common_voice_zh-CN_19125451.mp3	Population change graph of Wiener	test
common_voice_zh-CN_19125453.mp3	This species is distributed in China and other places.	test
common_voice_zh-CN_18660334.mp3	Later, Li Dingguo leads the army and solicits several times. He came out to bow to Li Dingguo's representative and make him angry.	test
common_voice_zh-CN_18660336.mp3	They may bless and protect the ship.	test
common_voice_zh-CN_18660337.mp3	In the 5th year of Xianchong, Song Duzong, served as supervisory censor.	test
common_voice_zh-CN_18978099.mp3	He saw it as a spiritual awakening.	test
common_voice_zh-CN_18978100.mp3	It is now a county under the jurisdiction of Fuzhou City.	test
common_voice_zh-CN_18978103.mp3	Hokuriku Main Line.	test
common_voice_zh-CN_18979587.mp3	The Jianguobei Road is divided into three sections.	test
common_voice_zh-CN_18979588.mp3	The Australian swiftlet is a small bird belonging to the Collocalia of the Apodidae.	test
common_voice_zh-CN_18979590.mp3	The year of 1331.	test
common_voice_zh-CN_18986505.mp3	The long narrow spicule is connected to each giant spine.	test
common_voice_zh-CN_18986507.mp3	Petrashevsky.	test
common_voice_zh-CN_18986508.mp3	In addition, according to clinic study, soy isoflavones could mitigate menopausal discomfort.	test
common_voice_zh-CN_18771616.mp3	During which, members of Student Independence Union refused to leave and they broke out in confrontation with police twice, belief that was ‘peaceful assembly’.	test
common_voice_zh-CN_18771618.mp3	Mother is the Qiu; stepmother is the Fangs.	test
common_voice_zh-CN_18771620.mp3	The government is accused of covering up the scandal to protect the reputation of the aristocracy and other major patrons.	test
common_voice_zh-CN_18739100.mp3	During Emperor Xiaowen of Wei period, served as an emissary. They were honest and capable. They followed the law. They were promoted to Zhukeling.	test
common_voice_zh-CN_18739101.mp3	Outdoor indoor	test
common_voice_zh-CN_18739104.mp3	The stage emblem is generally displayed in the upper right corner of the screen.	test
common_voice_zh-CN_18989716.mp3	What time will you be reporting for your duty?	test
common_voice_zh-CN_18989718.mp3	The education in Thailand is mainly about management.	test
common_voice_zh-CN_18989719.mp3	Later, complete skulls and postcranial fossils were also found.	test
common_voice_zh-CN_19004861.mp3	Grandma was sitting at the door of the kitchen	test
common_voice_zh-CN_19004863.mp3	Died of illness in 1765.	test
common_voice_zh-CN_19004864.mp3	Most cabinets would choose a unique name upon establishment.	test
common_voice_zh-CN_18999651.mp3	Delalande is inarguably the greatest composer of French Grand Motet.	test
common_voice_zh-CN_18999652.mp3	And many unit plays of tales of mystery	test
common_voice_zh-CN_18999653.mp3	Making great contribution to the domestic Internet development.	test
common_voice_zh-CN_18811713.mp3	Later, he went to University of London for further study and completed his lawyer courses the next year.	test
common_voice_zh-CN_18811714.mp3	Late mother named Yin, mother Guo.	test
common_voice_zh-CN_18811715.mp3	Chou Meiyin, Taiwanese Physicist, born in Taipei Sanchong in Taiwan.	test
common_voice_zh-CN_19014503.mp3	Pinzberg is a town in Bavaria State, Germany.	test
common_voice_zh-CN_19014505.mp3	It is a subjective matter to suggest that the defendant lost the self-control ability at the time of the crime.	test
common_voice_zh-CN_19014507.mp3	El Salvador is a parish of the Distrito de Beja of Portugal.	test
common_voice_zh-CN_19001475.mp3	Kodama Kiyoshi.	test
common_voice_zh-CN_19001477.mp3	Vitelline artery is one of the branches.	test
common_voice_zh-CN_19001478.mp3	The statue was placed in the Faith Lane.	test
common_voice_zh-CN_18986590.mp3	Cajanus niveus (Benth.) van der Maesen is a species under the Cajanus of the Leguminosae.	test
common_voice_zh-CN_18986592.mp3	Redness and fever may occur.	test
common_voice_zh-CN_18986593.mp3	He is known for his unique guitar tuning and jazz colors.	test
common_voice_zh-CN_18811575.mp3	mother’s surname Fan.	test
common_voice_zh-CN_18811576.mp3	Viseskul also sang this song during the interview by Chinese International Radio Broadcast.	test
common_voice_zh-CN_18811577.mp3	While condemning the North Korean government, Bo expressed "heartfelt sympathy" to the North Korean citizen.	test
common_voice_zh-CN_18810250.mp3	In this way, the two lost their friendship and became lovers.	test
common_voice_zh-CN_18810251.mp3	Longchi District, a district created in Tang China.	test
common_voice_zh-CN_18810252.mp3	Bintulu Airport is an airport serving Bintulu, a town in the state of Sarawak in Malaysia.	test
common_voice_zh-CN_19000671.mp3	BORACÉIA is a town in Sao Paulo of Brazil.	test
common_voice_zh-CN_19000672.mp3	Capital of the Jin Dynasty.	test
common_voice_zh-CN_19000673.mp3	The Dachen compatriots do not include the Residents in Zhoushan.	test
common_voice_zh-CN_18986541.mp3	The owners of many indicated restaurants said that they didn't know why their restaurant were listed.	test
common_voice_zh-CN_18986542.mp3	Lycodon laoensis is a reptile belonging to the Lycodon of the Colubridae.	test
common_voice_zh-CN_18986543.mp3	Chen Shiqi.	test
common_voice_zh-CN_18789516.mp3	The Olympic Tower, located in the Olympic park, is a tall tower in Munich, capital of Bavaria, Germany.	test
common_voice_zh-CN_18789517.mp3	Guangwu, Zhenwu, both Counties were created in Jianxing 14th year.	test
common_voice_zh-CN_18789518.mp3	The great plum bamboo work conference of the Qing Dynasty announced that the contest “could not be held”.	test
common_voice_zh-CN_18773956.mp3	Completed Imperial Court exam in the third rank in 163rd place, in Jiaxing 32nd year.	test
common_voice_zh-CN_18773957.mp3	Zheng Yongzhi successively ordered all the equipment for sound films from Germany and the United States, and the Hankou Photography Studio began to take shape.	test
common_voice_zh-CN_18773958.mp3	Four got injured, among which two were hit on head, staying unconscious and another two were hit on hands, staying conscious.	test
common_voice_zh-CN_19000617.mp3	The three countries witnessed the most successful development since the collapse of the Soviet Union.	test
common_voice_zh-CN_19000618.mp3	She concerned that the work shall be done by someone	test
common_voice_zh-CN_19000619.mp3	Seeing your eyes with tears	test
common_voice_zh-CN_18979661.mp3	Hills are on the north side of the downtown.	test
common_voice_zh-CN_18979662.mp3	Alpinia kwangsiensis T. L. Wu et Senjen is a species under the Alpinia of the Zingiberaceae.	test
common_voice_zh-CN_18979663.mp3	Its trademark is a person's face with brown beard and red bow tie.	test
common_voice_zh-CN_19001279.mp3	He now serves as the production director of the Focus Films Limited.	test
common_voice_zh-CN_19001280.mp3	Potamomya is a kind of extinct Bivalvia fauna.	test
common_voice_zh-CN_19001281.mp3	Novokuznetsk.	test
common_voice_zh-CN_18981531.mp3	Vivid Entertainment Group is a large pornographic film maker in Los Angeles of California.	test
common_voice_zh-CN_18981532.mp3	Asterales is a group under Dicotyledons of Angiospermae.	test
common_voice_zh-CN_18981534.mp3	They do not make sounds too much.	test
common_voice_zh-CN_18978001.mp3	The simplified Chinese version of the play has been translated and published by the translator Luo Niansheng.	test
common_voice_zh-CN_18978002.mp3	The author claims not to add supports in the future.	test
common_voice_zh-CN_18978004.mp3	The criminal procedure in Malaysia is based on the form of Indian criminal law.	test
common_voice_zh-CN_19785149.mp3	Yang Shanji.	test
common_voice_zh-CN_19785150.mp3	It’s not an insulting title in most cases.	test
common_voice_zh-CN_19785153.mp3	He used to serve the Yanbian Changbai Tiger Football Club in the Chinese Football Association China League.	test
common_voice_zh-CN_19375589.mp3	He was defeated in the quarter finals of the China Open.	test
common_voice_zh-CN_19375590.mp3	Population change graph of Le bourg d'oisans	test
common_voice_zh-CN_19375591.mp3	Mother Mrs. Gan.	test
common_voice_zh-CN_18981230.mp3	He was the on-duty director of team 9 of Chernobyl nuclear power plant.	test
common_voice_zh-CN_18981233.mp3	The investors forced the A&M to transfer the console game division to Aomeisoft.	test
common_voice_zh-CN_18981234.mp3	The local food includes buckwheat powder pancakes.	test
common_voice_zh-CN_18978518.mp3	With algae and benthos as food.	test
